DATE,SUBDIVISION,YEAR,MONTH,MONTH_NAME,RAINFALL_MM,IS_OUTLIER_YEAR
1919-03-01,COASTAL KARNATAKA,1919,3,MAR,0.0,False
1919-04-01,COASTAL KARNATAKA,1919,4,APR,2.4,False
1919-05-01,COASTAL KARNATAKA,1919,5,MAY,74.4,False
1919-06-01,COASTAL KARNATAKA,1919,6,JUN,669.9,False
1919-07-01,COASTAL KARNATAKA,1919,7,JUL,960.9,False
1919-08-01,COASTAL KARNATAKA,1919,8,AUG,632.7,False
1919-09-01,COASTAL KARNATAKA,1919,9,SEP,208.3,False
1919-10-01,COASTAL KARNATAKA,1919,10,OCT,236.2,False
1919-11-01,COASTAL KARNATAKA,1919,11,NOV,124.0,False
1919-12-01,COASTAL KARNATAKA,1919,12,DEC,9.3,False
1920-01-01,COASTAL KARNATAKA,1920,1,JAN,2.1,False
1920-02-01,COASTAL KARNATAKA,1920,2,FEB,0.0,False
1920-03-01,COASTAL KARNATAKA,1920,3,MAR,0.1,False
1920-04-01,COASTAL KARNATAKA,1920,4,APR,72.7,False
1920-05-01,COASTAL KARNATAKA,1920,5,MAY,29.2,False
1920-06-01,COASTAL KARNATAKA,1920,6,JUN,813.3,False
1920-07-01,COASTAL KARNATAKA,1920,7,JUL,1107.5,False
1920-08-01,COASTAL KARNATAKA,1920,8,AUG,464.7,False
1920-09-01,COASTAL KARNATAKA,1920,9,SEP,133.5,False
1920-10-01,COASTAL KARNATAKA,1920,10,OCT,129.8,False
1920-11-01,COASTAL KARNATAKA,1920,11,NOV,36.3,False
1920-12-01,COASTAL KARNATAKA,1920,12,DEC,0.0,False
1921-01-01,COASTAL KARNATAKA,1921,1,JAN,13.0,False
1921-02-01,COASTAL KARNATAKA,1921,2,FEB,0.0,False
1921-03-01,COASTAL KARNATAKA,1921,3,MAR,3.5,False
1921-04-01,COASTAL KARNATAKA,1921,4,APR,62.4,False
1921-05-01,COASTAL KARNATAKA,1921,5,MAY,18.6,False
1921-06-01,COASTAL KARNATAKA,1921,6,JUN,699.4,False
1921-07-01,COASTAL KARNATAKA,1921,7,JUL,871.9,False
1921-08-01,COASTAL KARNATAKA,1921,8,AUG,841.6,False
1921-09-01,COASTAL KARNATAKA,1921,9,SEP,327.1,False
1921-10-01,COASTAL KARNATAKA,1921,10,OCT,128.6,False
1921-11-01,COASTAL KARNATAKA,1921,11,NOV,41.3,False
1921-12-01,COASTAL KARNATAKA,1921,12,DEC,0.0,False
1922-01-01,COASTAL KARNATAKA,1922,1,JAN,6.5,False
1922-02-01,COASTAL KARNATAKA,1922,2,FEB,3.1,False
1922-03-01,COASTAL KARNATAKA,1922,3,MAR,0.0,False
1922-04-01,COASTAL KARNATAKA,1922,4,APR,44.8,False
1922-05-01,COASTAL KARNATAKA,1922,5,MAY,123.4,False
1922-06-01,COASTAL KARNATAKA,1922,6,JUN,763.1,False
1922-07-01,COASTAL KARNATAKA,1922,7,JUL,1333.2,False
1922-08-01,COASTAL KARNATAKA,1922,8,AUG,564.9,False
1922-09-01,COASTAL KARNATAKA,1922,9,SEP,314.4,False
1922-10-01,COASTAL KARNATAKA,1922,10,OCT,89.8,False
1922-11-01,COASTAL KARNATAKA,1922,11,NOV,89.4,False
1922-12-01,COASTAL KARNATAKA,1922,12,DEC,0.0,False
1923-01-01,COASTAL KARNATAKA,1923,1,JAN,0.8,False
1923-02-01,COASTAL KARNATAKA,1923,2,FEB,0.2,False
1923-03-01,COASTAL KARNATAKA,1923,3,MAR,32.2,False
1923-04-01,COASTAL KARNATAKA,1923,4,APR,9.8,False
1923-05-01,COASTAL KARNATAKA,1923,5,MAY,52.8,False
1923-06-01,COASTAL KARNATAKA,1923,6,JUN,604.8,False
1923-07-01,COASTAL KARNATAKA,1923,7,JUL,1627.2,False
1923-08-01,COASTAL KARNATAKA,1923,8,AUG,1013.2,False
1923-09-01,COASTAL KARNATAKA,1923,9,SEP,283.3,False
1923-10-01,COASTAL KARNATAKA,1923,10,OCT,44.4,False
1923-11-01,COASTAL KARNATAKA,1923,11,NOV,6.6,False
1923-12-01,COASTAL KARNATAKA,1923,12,DEC,5.8,False
1924-01-01,COASTAL KARNATAKA,1924,1,JAN,0.0,False
1924-02-01,COASTAL KARNATAKA,1924,2,FEB,0.0,False
1924-03-01,COASTAL KARNATAKA,1924,3,MAR,14.8,False
1924-04-01,COASTAL KARNATAKA,1924,4,APR,46.0,False
1924-05-01,COASTAL KARNATAKA,1924,5,MAY,47.2,False
1924-06-01,COASTAL KARNATAKA,1924,6,JUN,889.6,False
1924-07-01,COASTAL KARNATAKA,1924,7,JUL,1515.4,False
1924-08-01,COASTAL KARNATAKA,1924,8,AUG,602.7,False
1924-09-01,COASTAL KARNATAKA,1924,9,SEP,282.7,False
1924-10-01,COASTAL KARNATAKA,1924,10,OCT,94.4,False
1924-11-01,COASTAL KARNATAKA,1924,11,NOV,30.8,False
1924-12-01,COASTAL KARNATAKA,1924,12,DEC,5.2,False
1925-01-01,COASTAL KARNATAKA,1925,1,JAN,0.0,False
1925-02-01,COASTAL KARNATAKA,1925,2,FEB,0.0,False
1925-03-01,COASTAL KARNATAKA,1925,3,MAR,17.1,False
1925-04-01,COASTAL KARNATAKA,1925,4,APR,20.8,False
1925-05-01,COASTAL KARNATAKA,1925,5,MAY,176.6,False
1925-06-01,COASTAL KARNATAKA,1925,6,JUN,1176.4,False
1925-07-01,COASTAL KARNATAKA,1925,7,JUL,1117.2,False
1925-08-01,COASTAL KARNATAKA,1925,8,AUG,733.7,False
1925-09-01,COASTAL KARNATAKA,1925,9,SEP,81.5,False
1925-10-01,COASTAL KARNATAKA,1925,10,OCT,213.2,False
1925-11-01,COASTAL KARNATAKA,1925,11,NOV,27.7,False
1925-12-01,COASTAL KARNATAKA,1925,12,DEC,17.2,False
1926-01-01,COASTAL KARNATAKA,1926,1,JAN,12.3,False
1926-02-01,COASTAL KARNATAKA,1926,2,FEB,2.0,False
1926-03-01,COASTAL KARNATAKA,1926,3,MAR,0.1,False
1926-04-01,COASTAL KARNATAKA,1926,4,APR,7.3,False
1926-05-01,COASTAL KARNATAKA,1926,5,MAY,15.3,False
1926-06-01,COASTAL KARNATAKA,1926,6,JUN,686.3,False
1926-07-01,COASTAL KARNATAKA,1926,7,JUL,976.4,False
1926-08-01,COASTAL KARNATAKA,1926,8,AUG,850.3,False
1926-09-01,COASTAL KARNATAKA,1926,9,SEP,258.7,False
1926-10-01,COASTAL KARNATAKA,1926,10,OCT,143.6,False
1926-11-01,COASTAL KARNATAKA,1926,11,NOV,4.0,False
1926-12-01,COASTAL KARNATAKA,1926,12,DEC,0.1,False
1927-01-01,COASTAL KARNATAKA,1927,1,JAN,0.0,False
1927-02-01,COASTAL KARNATAKA,1927,2,FEB,0.0,False
1927-03-01,COASTAL KARNATAKA,1927,3,MAR,0.6,False
1927-04-01,COASTAL KARNATAKA,1927,4,APR,21.5,False
1927-05-01,COASTAL KARNATAKA,1927,5,MAY,80.1,False
1927-06-01,COASTAL KARNATAKA,1927,6,JUN,683.4,False
1927-07-01,COASTAL KARNATAKA,1927,7,JUL,1313.2,False
1927-08-01,COASTAL KARNATAKA,1927,8,AUG,535.8,False
1927-09-01,COASTAL KARNATAKA,1927,9,SEP,319.9,False
1927-10-01,COASTAL KARNATAKA,1927,10,OCT,110.5,False
1927-11-01,COASTAL KARNATAKA,1927,11,NOV,151.3,False
1927-12-01,COASTAL KARNATAKA,1927,12,DEC,0.0,False
1928-01-01,COASTAL KARNATAKA,1928,1,JAN,0.1,False
